subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis,reaction_prompt_passed,reaction_prompt_pressed_key
,,124606,2,123068,0,gameplay-adaptive,121068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52,TRUE,K_b
,,127588,2,126050,0,gameplay-adaptive,124050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,130588,2,129050,0,gameplay-adaptive,127050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50,TRUE,K_b
,,133588,2,132050,0,gameplay-adaptive,130050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,136605,2,135067,0,gameplay-adaptive,133067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50,TRUE,K_b
,,139606,2,138068,0,gameplay-adaptive,136068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53,TRUE,K_b
,,142588,2,141050,0,gameplay-adaptive,139050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,145589,2,144051,0,gameplay-adaptive,142051,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,148589,2,147051,0,gameplay-adaptive,145051,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,151604,2,150066,0,gameplay-adaptive,148066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50,TRUE,K_b
,,154588,2,153050,0,gameplay-adaptive,151050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,157606,2,156068,0,gameplay-adaptive,154068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53,TRUE,K_b
,,160605,2,159067,0,gameplay-adaptive,157067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,163587,2,162049,0,gameplay-adaptive,160049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,166606,2,165068,0,gameplay-adaptive,163068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53,TRUE,K_b
,,169603,2,168065,0,gameplay-adaptive,166065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50,TRUE,K_b
,,172587,2,171049,0,gameplay-adaptive,169049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,175606,2,174068,0,gameplay-adaptive,172068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,54,TRUE,K_b
,,178587,2,177049,0,gameplay-adaptive,175049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,181604,2,180066,0,gameplay-adaptive,178066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,184587,2,183049,0,gameplay-adaptive,181049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,187586,2,186048,0,gameplay-adaptive,184048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,33,TRUE,K_b
,,190605,2,189067,0,gameplay-adaptive,187067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,193587,2,192049,0,gameplay-adaptive,190049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,196587,2,195049,0,gameplay-adaptive,193049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,199587,2,198049,0,gameplay-adaptive,196049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,202604,2,201066,0,gameplay-adaptive,199066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,205604,2,204066,0,gameplay-adaptive,202066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,208605,2,207067,0,gameplay-adaptive,205067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53,TRUE,K_b
,,211586,2,210048,0,gameplay-adaptive,208048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,33,TRUE,K_b
,,214603,2,213065,0,gameplay-adaptive,211065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,49,TRUE,K_b
,,217587,2,216049,0,gameplay-adaptive,214049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35,TRUE,K_b
,,220603,2,219065,0,gameplay-adaptive,217065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50,TRUE,K_b
,,223605,2,222067,0,gameplay-adaptive,220067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52,TRUE,K_b
,,226586,2,225048,0,gameplay-adaptive,223048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,229604,2,228066,0,gameplay-adaptive,226066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,232605,2,231067,0,gameplay-adaptive,229067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53,TRUE,K_b
,,235603,2,234065,0,gameplay-adaptive,232065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,238605,2,237067,0,gameplay-adaptive,235067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53,TRUE,K_b
,,241603,2,240065,0,gameplay-adaptive,238065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50,TRUE,K_b
,,244604,2,243066,0,gameplay-adaptive,241066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,247586,2,246048,0,gameplay-adaptive,244048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,250603,2,249065,0,gameplay-adaptive,247065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51,TRUE,K_b
,,253605,2,252067,0,gameplay-adaptive,250067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53,TRUE,K_b
,,256586,2,255048,0,gameplay-adaptive,253048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,259604,2,258066,0,gameplay-adaptive,256066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52,TRUE,K_b
,,262586,2,261048,0,gameplay-adaptive,259048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34,TRUE,K_b
,,265605,2,264067,0,gameplay-adaptive,262067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53,TRUE,K_b
