subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis
,,170091,2,150087,0,gameplay-adaptive,148087,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,173092,2,153088,0,gameplay-adaptive,151088,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,176091,2,156087,0,gameplay-adaptive,154087,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,179093,2,159089,0,gameplay-adaptive,157089,dynamic-0,0,1,playing,none,whitescreen.png,complete,75
,,182091,2,162087,0,gameplay-adaptive,160087,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,185091,2,165087,0,gameplay-adaptive,163087,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,188089,2,168085,0,gameplay-adaptive,166085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,191089,2,171085,0,gameplay-adaptive,169085,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,194089,2,174085,0,gameplay-adaptive,172085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,197090,2,177086,0,gameplay-adaptive,175086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,200090,2,180086,0,gameplay-adaptive,178086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,203089,2,183085,0,gameplay-adaptive,181085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,206090,2,186086,0,gameplay-adaptive,184086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,209090,2,189086,0,gameplay-adaptive,187086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,212089,2,192085,0,gameplay-adaptive,190085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,215089,2,195085,0,gameplay-adaptive,193085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,218089,2,198085,0,gameplay-adaptive,196085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,221089,2,201085,0,gameplay-adaptive,199085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,224091,2,204087,0,gameplay-adaptive,202087,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,227089,2,207085,0,gameplay-adaptive,205085,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,230089,2,210085,0,gameplay-adaptive,208085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,233091,2,213087,0,gameplay-adaptive,211087,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,236091,2,216087,0,gameplay-adaptive,214087,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,239090,2,219086,0,gameplay-adaptive,217086,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,242088,2,222084,0,gameplay-adaptive,220084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,245088,2,225084,0,gameplay-adaptive,223084,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,248089,2,228085,0,gameplay-adaptive,226085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,251090,2,231086,0,gameplay-adaptive,229086,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,254092,2,234088,0,gameplay-adaptive,232088,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,257088,2,237084,0,gameplay-adaptive,235084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,260089,2,240085,0,gameplay-adaptive,238085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,263088,2,243084,0,gameplay-adaptive,241084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,266090,2,246086,0,gameplay-adaptive,244086,dynamic-0,0,1,playing,none,whitescreen.png,complete,73
,,269088,2,249084,0,gameplay-adaptive,247084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,272088,2,252084,0,gameplay-adaptive,250084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,275089,2,255085,0,gameplay-adaptive,253085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,278088,2,258084,0,gameplay-adaptive,256084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,281088,2,261084,0,gameplay-adaptive,259084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,284088,2,264084,0,gameplay-adaptive,262084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,287087,2,267083,0,gameplay-adaptive,265083,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,290088,2,270084,0,gameplay-adaptive,268084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,293088,2,273084,0,gameplay-adaptive,271084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,296088,2,276084,0,gameplay-adaptive,274084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,299089,2,279085,0,gameplay-adaptive,277085,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,302088,2,282084,0,gameplay-adaptive,280084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,305090,2,285086,0,gameplay-adaptive,283086,dynamic-0,0,1,playing,none,whitescreen.png,complete,74
,,308087,2,288083,0,gameplay-adaptive,286083,dynamic-0,0,1,playing,none,whitescreen.png,complete,70
,,311087,2,291083,0,gameplay-adaptive,289083,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,314088,2,294084,0,gameplay-adaptive,292084,dynamic-0,0,1,playing,none,whitescreen.png,complete,71
,,317088,2,297084,0,gameplay-adaptive,295084,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,320088,2,300084,0,gameplay-adaptive,298084,dynamic-0,0,1,playing,none,whitescreen.png,complete,72
,,,,,,,,,,,,,,Mean RT,71.71
,,,,,,,,,,,,,,SD RT,1.241496328
