subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis
,,154646,2,144066,0,gameplay-adaptive,142066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,157629,2,147049,0,gameplay-adaptive,145049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,160647,2,150067,0,gameplay-adaptive,148067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,163629,2,153049,0,gameplay-adaptive,151049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,166629,2,156049,0,gameplay-adaptive,154049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,169647,2,159067,0,gameplay-adaptive,157067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,172630,2,162050,0,gameplay-adaptive,160050,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35
,,175646,2,165066,0,gameplay-adaptive,163066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,178645,2,168065,0,gameplay-adaptive,166065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,181629,2,171049,0,gameplay-adaptive,169049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,184646,2,174066,0,gameplay-adaptive,172066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,187629,2,177049,0,gameplay-adaptive,175049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35
,,190663,2,180083,0,gameplay-adaptive,178083,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,68
,,193646,2,183066,0,gameplay-adaptive,181066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,196629,2,186049,0,gameplay-adaptive,184049,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35
,,199646,2,189066,0,gameplay-adaptive,187066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,202647,2,192067,0,gameplay-adaptive,190067,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,53
,,205646,2,195066,0,gameplay-adaptive,193066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,208646,2,198066,0,gameplay-adaptive,196066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,211628,2,201048,0,gameplay-adaptive,199048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,33
,,214646,2,204066,0,gameplay-adaptive,202066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,217646,2,207066,0,gameplay-adaptive,205066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,220646,2,210066,0,gameplay-adaptive,208066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,223646,2,213066,0,gameplay-adaptive,211066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,226645,2,216065,0,gameplay-adaptive,214065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,229645,2,219065,0,gameplay-adaptive,217065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,232645,2,222065,0,gameplay-adaptive,220065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,235628,2,225048,0,gameplay-adaptive,223048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,238645,2,228065,0,gameplay-adaptive,226065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,241645,2,231065,0,gameplay-adaptive,229065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,244645,2,234065,0,gameplay-adaptive,232065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,247645,2,237065,0,gameplay-adaptive,235065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,250644,2,240064,0,gameplay-adaptive,238064,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,253645,2,243065,0,gameplay-adaptive,241065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,256628,2,246048,0,gameplay-adaptive,244048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,259645,2,249065,0,gameplay-adaptive,247065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,262644,2,252064,0,gameplay-adaptive,250064,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,265627,2,255047,0,gameplay-adaptive,253047,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,33
,,268645,2,258065,0,gameplay-adaptive,256065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,271626,2,261046,0,gameplay-adaptive,259046,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,32
,,274644,2,264064,0,gameplay-adaptive,262064,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,277627,2,267047,0,gameplay-adaptive,265047,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,280628,2,270048,0,gameplay-adaptive,268048,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,35
,,283644,2,273064,0,gameplay-adaptive,271064,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,286627,2,276047,0,gameplay-adaptive,274047,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,289645,2,279065,0,gameplay-adaptive,277065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,292643,2,282063,0,gameplay-adaptive,280063,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,295627,2,285047,0,gameplay-adaptive,283047,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,298644,2,288064,0,gameplay-adaptive,286064,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,50
,,301644,2,291064,0,gameplay-adaptive,289064,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,304645,2,294065,0,gameplay-adaptive,292065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,51
,,307645,2,297065,0,gameplay-adaptive,295065,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,52
,,310627,2,300047,0,gameplay-adaptive,298047,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,34
,,,,,,,,,,,,,,Mean RT,46
,,,,,,,,,,,,,,SD RT,8.295063641
