subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis
,,145506,2,144069,0,gameplay-adaptive,142069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,148530,2,147093,0,gameplay-adaptive,145093,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,151506,2,150069,0,gameplay-adaptive,148069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,154514,2,153077,0,gameplay-adaptive,151077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,157506,2,156069,0,gameplay-adaptive,154069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,160514,2,159077,0,gameplay-adaptive,157077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,163506,2,162069,0,gameplay-adaptive,160069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,166514,2,165077,0,gameplay-adaptive,163077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,169506,2,168069,0,gameplay-adaptive,166069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,172514,2,171077,0,gameplay-adaptive,169077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,175506,2,174069,0,gameplay-adaptive,172069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,178530,2,177093,0,gameplay-adaptive,175093,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,181506,2,180069,0,gameplay-adaptive,178069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,184514,2,183077,0,gameplay-adaptive,181077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,187506,2,186069,0,gameplay-adaptive,184069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,190514,2,189077,0,gameplay-adaptive,187077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,193506,2,192069,0,gameplay-adaptive,190069,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,196515,2,195078,0,gameplay-adaptive,193078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,199508,2,198071,0,gameplay-adaptive,196071,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,202532,2,201095,0,gameplay-adaptive,199095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,205508,2,204071,0,gameplay-adaptive,202071,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,208516,2,207079,0,gameplay-adaptive,205079,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,211508,2,210071,0,gameplay-adaptive,208071,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,214516,2,213079,0,gameplay-adaptive,211079,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,217524,2,216087,0,gameplay-adaptive,214087,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
,,220516,2,219079,0,gameplay-adaptive,217079,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,223508,2,222071,0,gameplay-adaptive,220071,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,226516,2,225079,0,gameplay-adaptive,223079,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,229510,2,228073,0,gameplay-adaptive,226073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64
,,232518,2,231081,0,gameplay-adaptive,229081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80
