subject_number,subject_run,total_millis,step_number,step_millis,step_trigger_count,top_screen,level_millis,level_name,adaptive_level_score,level_attempt,level_state,reaction_prompt_sound,reaction_prompt_image,reaction_prompt_state,reaction_prompt_millis,reaction_prompt_passed,reaction_prompt_pressed_key
,,130875,2,129070,0,gameplay-adaptive,127070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,133883,2,132078,0,gameplay-adaptive,130078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,136876,2,135071,0,gameplay-adaptive,133071,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,139900,2,138095,0,gameplay-adaptive,136095,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,142893,2,141088,0,gameplay-adaptive,139088,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,81,true,K_b
,,145869,2,144064,0,gameplay-adaptive,142064,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,148893,2,147088,0,gameplay-adaptive,145088,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,151869,2,150064,0,gameplay-adaptive,148064,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,154893,2,153088,0,gameplay-adaptive,151088,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,157869,2,156064,0,gameplay-adaptive,154064,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,160878,2,159073,0,gameplay-adaptive,157073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,163886,2,162081,0,gameplay-adaptive,160081,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,166878,2,165073,0,gameplay-adaptive,163073,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,169871,2,168066,0,gameplay-adaptive,166066,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,172895,2,171090,0,gameplay-adaptive,169090,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,175873,2,174068,0,gameplay-adaptive,172068,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,178882,2,177077,0,gameplay-adaptive,175077,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,181875,2,180070,0,gameplay-adaptive,178070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,184883,2,183078,0,gameplay-adaptive,181078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,187875,2,186070,0,gameplay-adaptive,184070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,190883,2,189078,0,gameplay-adaptive,187078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,193891,2,192086,0,gameplay-adaptive,190086,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,196883,2,195078,0,gameplay-adaptive,193078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,199875,2,198070,0,gameplay-adaptive,196070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,202899,2,201094,0,gameplay-adaptive,199094,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,80,true,K_b
,,205875,2,204070,0,gameplay-adaptive,202070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,208883,2,207078,0,gameplay-adaptive,205078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,211875,2,210070,0,gameplay-adaptive,208070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,214883,2,213078,0,gameplay-adaptive,211078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,217875,2,216070,0,gameplay-adaptive,214070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,220883,2,219078,0,gameplay-adaptive,217078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,223875,2,222070,0,gameplay-adaptive,220070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,226883,2,225078,0,gameplay-adaptive,223078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,229875,2,228070,0,gameplay-adaptive,226070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,232883,2,231078,0,gameplay-adaptive,229078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,235875,2,234070,0,gameplay-adaptive,232070,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
,,238883,2,237078,0,gameplay-adaptive,235078,dynamic-0,0,1,playing,tone440.wav,transparent.png,complete,64,true,K_b
